diff                       freq                      real                     imag
1.0000000000000000E-002   1.0000000000000001E-005   33.343749788359901       -100000.00222048629
1.0000000000000000E-002   1.2589254117941661E-005   33.343749664573046       -79432.826267854834
1.0000000000000000E-002   1.5848931924611141E-005   33.343749468384111       -63095.737967252877
1.0000000000000000E-002   1.9952623149688786E-005   33.343749157445608       -50118.727793179773
1.0000000000000000E-002   2.5118864315095822E-005   33.343748664641311       -39810.722632958830
1.0000000000000000E-002   3.1622776601683795E-005   33.343747883599178       -31622.783623477430
1.0000000000000000E-002   3.9810717055349695E-005   33.343746645730953       -25118.873155009776
1.0000000000000000E-002   5.0118723362727251E-005   33.343744683842317       -19952.634278480120
1.0000000000000000E-002   6.3095734448019293E-005   33.343741574459123       -15848.945934927393
1.0000000000000000E-002   7.9432823472428221E-005   33.343736646420773       -12589.271755880900
1.0000000000000000E-002   1.0000000000000000E-004   33.343728836011081       -10000.022204842106
1.0000000000000000E-002   1.2589254117941674E-004   33.343716457357878       -7943.3103014672133
1.0000000000000000E-002   1.5848931924611142E-004   33.343696838544673       -6309.6086370542844
1.0000000000000000E-002   1.9952623149688788E-004   33.343665744896519       -5011.9166406314398
1.0000000000000000E-002   2.5118864315095795E-004   33.343616464974467       -3981.1274812941633
1.0000000000000000E-002   3.1622776601683794E-004   33.343538362036810       -3162.3478774418736
1.0000000000000000E-002   3.9810717055349735E-004   33.343414578416578       -2511.9748293264806
1.0000000000000000E-002   5.0118723362727253E-004   33.343218397598577       -1995.3736002431774
1.0000000000000000E-002   6.3095734448019298E-004   33.342907479488687       -1585.0332903581059
1.0000000000000000E-002   7.9432823472428131E-004   33.342414726414134       -1259.1017806807179
1.0000000000000000E-002   1.0000000000000000E-003   33.341633812945041       -1000.2220274599395
1.0000000000000000E-002   1.2589254117941675E-003   33.340396267865160       -794.60773514787672
1.0000000000000000E-002   1.5848931924611141E-003   33.338435190856529       -631.30918356905022
1.0000000000000000E-002   1.9952623149688789E-003   33.335327845998016       -501.63011076561060
1.0000000000000000E-002   2.5118864315095794E-003   33.330404926171852       -398.66459611625368
1.0000000000000000E-002   3.1622776601683794E-003   33.322607367587274       -316.92927651907576
1.0000000000000000E-002   3.9810717055349734E-003   33.310260970795170       -252.07130078979293
1.0000000000000000E-002   5.0118723362727246E-003   33.290723086261899       -200.63645195470548
1.0000000000000000E-002   6.3095734448019303E-003   33.259832341503767       -159.88505406263863
1.0000000000000000E-002   7.9432823472428138E-003   33.211060582600503       -127.64579161336279
1.0000000000000000E-002   1.0000000000000000E-002   33.134228134320999       -102.19952585779961
1.0000000000000000E-002   1.2589254117941675E-002   33.013612373994924       -82.186674895418847
1.0000000000000000E-002   1.5848931924611134E-002   32.825297033397035       -66.532781969168425
1.0000000000000000E-002   1.9952623149688799E-002   32.533780252664364       -54.387562380692252
1.0000000000000000E-002   2.5118864315095794E-002   32.088402717868746       -45.073082539586395
1.0000000000000000E-002   3.1622776601683791E-002   31.421423736533438       -38.037120866058650
1.0000000000000000E-002   3.9810717055349734E-002   30.451802065556329       -32.809144985461700
1.0000000000000000E-002   5.0118723362727220E-002   29.101052922340138       -28.960524967492418
1.0000000000000000E-002   6.3095734448019331E-002   27.326036036110583       -26.078838933438593
1.0000000000000000E-002   7.9432823472428138E-002   25.161461895154680       -23.773717800062421
1.0000000000000000E-002  0.10000000000000001        22.743272022666009       -21.723124834474653
1.0000000000000000E-002  0.12589254117941673        20.278075114817412       -19.734099230238360
1.0000000000000000E-002  0.15848931924611134        17.962643449428750       -17.762503362988753
1.0000000000000000E-002  0.19952623149688797        15.910230752105692       -15.864197981237098
1.0000000000000000E-002  0.25118864315095801        14.135908918483413       -14.114166184916995
1.0000000000000000E-002  0.31622776601683794        12.595896144298328       -12.551268950944969
1.0000000000000000E-002  0.39810717055349720        11.237764902366211       -11.170963874295083
1.0000000000000000E-002  0.50118723362727224        10.027066530087978       -9.9478946505006842
1.0000000000000000E-002  0.63095734448019325        8.9462104716245925       -8.8579981197952478
1.0000000000000000E-002  0.79432823472428149        7.9833071536635911       -7.8848393630048017
1.0000000000000000E-002   1.0000000000000000        7.1265151835200982       -7.0160527762443694
1.0000000000000000E-002   1.2589254117941673        6.3643795681518069       -6.2404185672579349
1.0000000000000000E-002   1.5848931924611136        5.6867206798056174       -5.5476380675824783
1.0000000000000000E-002   1.9952623149688795        5.0845635779668177       -4.9285177384232401
1.0000000000000000E-002   2.5118864315095801        4.5499377970270318       -4.3748638779861233
1.0000000000000000E-002   3.1622776601683795        4.0757732452462241       -3.8793591669713443
1.0000000000000000E-002   3.9810717055349722        3.6558114326713924       -3.4354704526844699
1.0000000000000000E-002   5.0118723362727220        3.2845250586026324       -3.0373680811828487
1.0000000000000000E-002   6.3095734448019334        2.9570480921613429       -2.6798569774066365
1.0000000000000000E-002   7.9432823472428158        2.6691147829265724       -2.3583201064395740
1.0000000000000000E-002   10.000000000000000        2.4170058143226019       -2.0686752056495634
1.0000000000000000E-002   12.589254117941675        2.1974987216065607       -1.8073462953906951
1.0000000000000000E-002   15.848931924611133        2.0078176372779373       -1.5712516235677718
1.0000000000000000E-002   19.952623149688797        1.8455741205072869       -1.3578084674526985
